company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
Waytogo Consultants Pvt Ltd,UG: Any Graduate - Any Specialization,4 - 9 yrs,Banking / Financial Services / Broking,"job description   send me jobs like this to generate fee based income from od , bg lc sourcing of high value current accounts and asset disbursals primary point of contact for trade and business banking needs of client increasing the commercial asset book from the existing and new clients and revenue from trade & forex. trade fee generation - trade pricing, bill discounting - both inland & foreign, lc, buyers credit, bank guarantees salary:inr 4,00,000 - 9,00,000 p.a industry: banking / financial services / broking functional area: financial services , banking , investments , insurance role category:retail/personal banking role:sales officer desired candidate profile please refer to the job description above education- ug: any graduate - any specialization company profile: waytogo consultants pvt ltd a leading bfsi download ppt photo 1   view contact details",80916600928,"Mumbai, Navi Mumbai, Mumbai Suburbs",RM- Transcation Banking ( Mumbai ),3.0,"4,00,000 - 9,00,000 P.A",2016-11-04 19:48:44 +0000,www.naukri.com,Financial Services,92c660ee93db93b47fdec49c86fb0dc4
Bee5 Manpower Consulting,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,6 - 10 yrs,IT-Software / Software Services,"job description   send me jobs like this role:business lead/ manager lpaas banking, andheri east mumbai reports to:senior manager projects experience:6+ years (min 3 yrs experience in bfsi client acquisition/ banking product team) place of posting :andheri east, mumbai salary: up to 25.0 lac pa no. of positions:1 synopsis: the position objective is to create, develop and maintain relationship with bfsi clients. end-to-end relationship management from client acquisition to roll out of ongoing program deliverable. maximize revenue potential through the client partnership. lpaas (loyalty program as a service) is companys proprietary service delivery platform to manage loyalty and incentive programs for banks, retailers and corporate. lpaas is driven by intelligent and fluid technology seamlessly interwoven with best practices of customer engagement delivered through a highly experienced and motivated team. with the use of smart analytics translated to relevant insight by domain experts, lpaas helps to create conservation that last forever. role & responsibilities: deliver thought and exceptional executional leadership on loyalty and related in bfsi domain. managing accounts profit and loss (p&l), including deliveries within budget and meeting revenue targets from the account/ s. maximize revenue potential by growing services and maintain existing ones. understand clients needs and translate into actionable for internal teams. monitor account kpis and manage effective communication with all stakeholders. build market intelligence and be updated on emerging opportunities in the sector. prepare and deliver executive/ c-level presentations on program impact. understand requirements, build case studies, prepare proposal document and deliver presentation for business opportunities, for prospective clients in bfsi and banking. negotiate commercials to establish contract for technical and operational setup. interact with program management team comprising of analytics, campaigns, client ops, and rewards. provide and follow peer/ lateral instructions w.r.t. client servicing and strategy teams to exchange ideas innovatively. exceptional executional/ operational/ strategic skills with eye for detail. desire to make career in loyalty/ crm/ marketing strategy. desired education/ experience and skills: b.tech/ mba from a pedigree of institute with 6+ year experience and minimum 3+ year experience in bfsi client acquisition/ banking product team. understands lpaas, implementation environment e.g. erp solution, mailing systems, customer service, e-commerce interface and process collation. maximize revenue by growing services and maintaining relationship. ability to align launch and develop ongoing plans based on nature of contract. highly proactive, enthusiastic and committed to deliver business results as a great team player. ability to quickly understand complex business scenarios and convert them in to convert them into business opportunities. ability to establish quick rapport and professional connect with polished attitude. self-driven with ability to communicate at all levels of business as a go getter and put-forth the perspectives clearly. salary:inr 15,00,000 - 25,00,000 p.a industry: it-software / software services functional area: sales , retail , business development role category:senior management role:head/vp/gm/national manager -sales desired candidate profile b.tech/ mba from a pedigree institute 6+ yrs exp in bfsi client acquisition/ banking product team. translate client needs, monitor account kpis, negotiate commercials, build contract for tech/ operational setup.understands lpaas, implementation environment e.g. erp solution, mailing systems, cs, e-commerce interface, process collation. maximize revenue by client acquisition/ growing services and desire to make career in loyalty/ crm/ marketing strategy.key skills:bd, sales, marketing, bfsi/ banking clients, revenue, p&l, lpaas, loyalty program as a service, c-level presentation, case studies, proposal, rfq, rfp, negotiation, business analytics, campaigns, erp solution, mailing systems, e-commerce, education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: bee5 manpower consulting it creates technology solutions in consumer services across mobile, social, payments and retail verticals. being indias first collaborative rewards market-place, it has several enterprises on its lpaas platform, saas technology, loyalty programs, decision analytic etc.it provides rewards platform that allows consumers to unlock the value of their reward currencies, thus restoring faith in merchant loyalty program and credit card points. it supports an outreach platform for all types of loyalty programs where customers track, enroll, pool, and redeem points across programs. currently it lives in 2000+ stores, serves over 250,000 transactions monthly across 2 million customers. it also has the largest reward platform across travel, shopping (over 5, 00,000+ products across 1000+ brands), movie and recharge etc. and already influencing commerce of over 200 cr. through its enterprise implementations. it is india's first collaborative rewards market-place. reward systems, loyalty programs, frequent flyer miles, credit cards points, consulting, saas technology, corporate incentives, flights, movies, deals, airtime, shopping, gifting etc. are all on its card.the company believes in creating technology solutions in consumer services across mobile, social, payments and retail verticals. the company supports the eco-system where everyone is rewarded, be it the pooling partners (airlines, banks, brands), corporate, merchants or members. industry: software product development servicesdomain: loyalty programs download ppt photo 1   view contact details",10716600595,"Mumbai, Navi Mumbai","Business Lead/ Manager Ã¢â?¬â?? Lpaas Banking, Andheri East Mumbai",1.0,"15,00,000 - 25,00,000 P.A",2016-11-29 19:48:46 +0000,www.naukri.com,Sales,a6e6c9301524747223f467c05759b321
Unnati,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,4 - 5 yrs,Banking / Financial Services / Broking,"job description   send me jobs like this our client is a startup founded by alumnus of iim c and mdi gurgaon. the company operates in the fin-tech domain, helping customers to improve their credit ratings and get access to better financing options and also providing leads and sales enablement services to companies in the bfsi domain. the company is a stable one with a track record of 5 years in which it has helped millions of retail customers improve their credit health and get access to better financing options. as a manager - lead generation , your responsibility include, giving project details to prospective clients and explain product and services over the phone should be able to understand customer need lead generation co-ordination for appointments to deliver the desired revenue target numbers. cross-selling to existing customers & acquisition of new customers. to systematically execute the sales. salary:inr 3,00,000 - 5,00,000 p.a. variables / incentives industry: banking / financial services / broking functional area: sales , retail , business development role category:channel sales role:client relationship manager desired candidate profile hands-on operational experience is a mustshould be target orientedgood communication skillsexperience in customer orientationgood presentation skillscandidate should have a positive attitude & should be goal oriented. education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: unnati our client is a startup founded by alumnus of iim c and mdi gurgaon. the company operates in the fin-tech domain, helping customers to improve their credit ratings and get access to better financing options and also providing leads and sales enablement services to companies in the bfsi domain. nnthe company is a stable one with a track record of 5 years in which it has helped millions of retail customers improve their credit health and get access to better financing options. download ppt photo 1   view contact details",101116600344,Mumbai,Manager - Lead Generation | Fintech Company,1.0,"3,00,000 - 5,00,000 P.A. Variables / Incentives",2016-11-09 19:48:46 +0000,www.naukri.com,Sales,7786ea6a51559c1380bb90371736478e
Waytogo Consultants Pvt Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,4 - 9 yrs,Banking / Financial Services / Broking,"job description   send me jobs like this managing nri portfolios of the branch for incremental deepening value, sourcing high end business accounts & generating fee based income. detailed responsibilities: managing customer relationships & addressing both service & sales queries for customers with an objective to engage & retain customers. sourcing nri customers & thereby generating fee based income. meeting existing customers to generate business opportunities thereby generating revenue for the bank. handling nr based queries from the branch & increase nr revenue by smoothening transactions process by proactive liaison with nr service cell identifying new segments & set up new verticals for prospective business opportunities at different locations/regions new to the bank. recommend & introduce new services e.g. cash management services, treasury etc. with an objective to engage customers & generate fee income. salary: not disclosed by recruiter industry: banking / financial services / broking functional area: financial services , banking , investments , insurance role category:corporate banking role:relationship executive desired candidate profile please refer to the job description above education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: waytogo consultants pvt ltd leading download ppt photo 1   view contact details",180916600371,Mumbai,Erm-nri Mumbai,10.0,Not Disclosed by Recruiter,2016-11-05 19:48:46 +0000,www.naukri.com,Financial Services,36e5dad77328d6adc4c6ed9e6c64b490
Future tech,"UG: Any Graduate - Any Specialization PG:Any Postgraduate, MBA/PGDM - Any Specialization, Advertising/Mass Communication, Marketing",8 - 10 yrs,FMCG / Foods / Beverage,"job description   send me jobs like this design & create complete concept to execute strategy for the brandplan storyboard & concept of communication, get brand message across to target groupdefine & project brand through atlplan complete communication of promotional activities salary:inr 18,00,000 - 20,00,000 p.a industry: fmcg / foods / beverage functional area: marketing , advertising , mr , pr , media planning role category:marketing role:product/brand manager desired candidate profile solid understanding of brand message, identity, personality & architecturecoordinate with trade marketing, brand business teamsleader with personality, good interpersonal skills with right attitude & initiative education- ug: any graduate - any specialization pg:any postgraduate, mba/pgdm - any specialization, advertising/mass communication, marketing company profile: future tech largest indian f&b company, brands have won hearts of consumers everywhere, present in every indian home. growth is driven by the innovative & unconventional. the young management hires sincere professionals with entrepreneurial & leadership skills download ppt photo 1   view contact details",61116600213,Mumbai,Brand Strategy & Communication Manager,1.0,"18,00,000 - 20,00,000 P.A",2016-11-05 19:48:46 +0000,www.naukri.com,Marketing,bbe5064ea65f9af05bb80ec9693016af
Asian Aerosol,UG: B.Com - Commerce PG:Post Graduation Not Required,2 - 5 yrs,Other,"job description   send me jobs like this maintenance of statutory books of accounts, tds knowledge, excise accounting, vat return data compilation, issue of c forms, completion of pvt. ltd. accounts, mis data compilation, vendor payments salary:inr 1,50,000 - 2,25,000 p.a. compensation based on qualification & experience industry: other functional area: accounts , finance , tax , company secretary , audit role category:accounts role:accounts executive/accountant keyskills accounting tds vat return excise vendor payments mis excel reporting costing desired candidate profile please refer to the job description above education- ug: b.com - commerce pg:post graduation not required company profile: asian aerosol asian aerosol group enterprise is engaged in the business of manufacturing aerosol products download ppt photo 1   view contact details",290216000328,Mumbai,Accounts Executive,2.0,"1,50,000 - 2,25,000 P.A. Compensation based on Qualification & Experience",2016-02-29 19:48:47 +0000,www.naukri.com,Accounts,8a1ab469efb1e16172138a95a402a44c
AERONUBE TECHNOLOGY PRIVATE LIMITED,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,3 - 5 yrs,IT-Software / Software Services,"job description   send me jobs like this greetings from aeronube technology !! this is with regards to an excellent opportunity with us and if you have that unique and unlimited passion to build world class enterprise software products that turn into actionable intelligence, then we have the right opportunity for you and your career. this is an opportunity of permanent employment with one of our it mnc clients. type of employment: permanent what we are looking for: c c++ developer people who are excited by technology and working with others to develop truly great software. people willing to learn new skills and who are not tied to any one language, but who have developed their skills sufficiently to accept any challenge. people who are willing to take ownership, take responsibility and perform in a ""first-class"" way. exp: - 3 to 5 years job description: development, monitoring and managing releases. java c/proc linux scripting oracle sql, plsql networking concepts tcp/ip multithreading concepts, linux ipc and basic system knowledge location: andheri bkc joining time : immediate salary: not disclosed by recruiter industry: it-software / software services functional area: it software - application programming , maintenance role category:programming & design role:software developer desired candidate profile if you are interested for the above position then, kindly send us the following details (mandatory) along with an updated resume / cv as soon as possible, so that we could process your profile for the same.full name: skill: total experience: relevant experience: contact number: alternate contact number: dob: take home salary per month: expected take home salary per month:currently working/not working/ serving notice period:current company: employment [permanent/contract]: if contract, please specify your primary company details with url: required time to join: current location: please let us know if you are holding any other offers: ready to take f2f interview (mandatory):passport: wishing you all the very best. in case you might want to get in touch with us for better assistance, please feel free to email us at jobs@aeronube.com and we would be more than glad to help you. education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: aeronube technology private limited aeronube is a result driven specialist it organization with extensive sector knowledge and experience in it staffing / managed services & software development providing end to end it services and solutions to different fortune 500 clients. in todayu2019s world, as business becomes more demanding, organizations need to re-engineer their it services & solutions and need to be agile and flexible to meet ever-changing business expectations and that requires a broad-based and integrated capability u2013 not just in skills, but across capabilities, types of engagements and service delivery models. innovative strategies, technological expertise and a holistic approach to commitments is the key differentiator to aeronubeu2019s approach. rnrnordinary jobs can be a bit boring. we get that. but boring is not a word you would associate with aeronube. no. boring we are not.rnrnwe're a vibrant, innovative company with big ideas and a great vision: to fundamentally change the recruitment industry and make people feel good about recruitment.we're looking to grow quickly, and we're on the look out for dynamic, free-thinking professionals to join our team and help us achieve our goal(s). we offer competitive packages, opportunities for training and career development, and a chance to make a real difference in a fast-paced, meritocratic, performance-driven but fun environment. rnrnwith a highly qualified /skilled management and leadership team, we deploy innovative and effective search methodologies to meet our clientu2019s needs. download ppt photo 1   view contact details",101116600062,Mumbai,C / C++ Developer / Mumbai / IT MNC,4.0,Not Disclosed by Recruiter,2016-11-09 19:48:47 +0000,www.naukri.com,IT Software - Application Programming,d3b45681e52b180544b11e931b5c3b9f
Next Education India Pvt. Ltd.,"UG: B.B.A / B.M.S, B.Com PG:MBA/PGDM - Any Specialization",5 - 7 yrs,Education / Teaching / Training,"job description   send me jobs like this purpose and scope of the position: its a purely b2b sales profile. the schools/clients will have to be mapped by the person. the entire life cycle of an account is manager by a single sales person. after acquiring the client the job requires to get the maximum share of business. there are multiple contact points in all the clients and the most common touch points are principals, teachers, and hod. skills and attitude (required for the role): good communication and presentation skills. hard negotiating skills. good interpersonal relationship. qualification: should be graduate / mba from a premier institute. knowledge/education needed: * should preferable have exposure to educational sales industry. * should be a part of hardcore business development team. * should understand the business dynamics language proficiency: english & hindi (regional language preferable) salary: not disclosed by recruiter industry: education / teaching / training functional area: sales , retail , business development role category:retail sales role:area sales manager desired candidate profile please refer to the job description above education- ug: b.b.a / b.m.s, b.com pg:mba/pgdm - any specialization company profile: next education india pvt. ltd. next education is a highly technology-driven company revolutionizing the education system in india. over the years, we have created ground-breaking products that make learning and teaching easier, engaging and effective. next education empowers schools with technology based k-12 solutions which impact over 70 lakh students across 7000+ schools across india. established in 2007, next education india pvt. ltd has made a name for itself in the technology enabled education industry. the management consists of iit, iim, lbs alumni and has a very young, vibrant and energetic workforce. we have over 1900 employees. next education is an end-to-end school education solution provider encompassing varied products across the spectrum such as teachnext: a digital classroom solution, nextlabs: a hands-on learning solution for science, mathematics, english and robotics, nexterp: a school management solution, learnnext: a self-learning tool and nextbooks. for more details please visit www.nexteducation.in download ppt photo 1   view contact details",81116600104,Mumbai,Area Manager - Mumbai,1.0,Not Disclosed by Recruiter,2016-11-07 19:48:47 +0000,www.naukri.com,Sales,8ce1618e942b7e7d2956dba71e488bc7
QUANTUM ADVISORS PRIVATE LIMITED,"PG:CA, MBA/PGDM - Any Specialization, Finance",3 - 6 yrs,Banking / Financial Services / Broking,"job description   send me jobs like this establish and monitor key risk indicators, as well as implement corrective action plans to mitigate risks. analyze transactions, internal reports and financial information for potential fraud risks. maintain reports of significant risks and recommendations. create policies, procedures and control assessments in response to identified risks. proactively identify and address risk issues and weakness in existing products, policies and processes. evaluate the effectiveness of the company's internal control framework in addressing risks and accomplishing the company's goals and objectives. provide training and technical support to employees regarding risk management strategies and programs. liaison with business functions to update risk registers, risk management manual. ensure effectiveness of business continuity plans. key contributor to establishing the evolving risk culture. salary: not disclosed by recruiter industry: banking / financial services / broking functional area: financial services , banking , investments , insurance role category:operations/processes/finance/legal role:audit manager desired candidate profile please refer to the job description above education- pg:ca, mba/pgdm - any specialization, finance company profile: quantum advisors private limited quantum advisors (qasl) indiaã¢â?¬â?¢s premier equity research company has over 25 years of experience and 41 years of collective experience in indian equity that lived through many bull and bear cycles. our founders have worked with global money managers and adhere to high standards of ethics and transparency. quantum advisors pioneered a quantitative as well as qualitative analytical approach to equity investing in india, providing for the first time, consistently applied valuation metrics to evaluate investment opportunities in indiaã¢â?¬â?¢s emerging stock markets. over the years, quantum advisors has continued and enhanced its tradition of extensive financial analysis and value investing, as it has evolved into an investment advisor and asset manager. as one of the first portfolio managers to adopt a fundamental approach to investing in indian equities and having worked with leading fund managers in the united states, europe, and asia, quantum advisors has positioned itself to help international investors to capitalize on the investment opportunities in the indian markets while being appraised of some of the unique risks associated with such opportunities. download ppt photo 1   view contact details",191016600178,Mumbai,Manager/ Sr. Manager Risk Control,1.0,Not Disclosed by Recruiter,2016-12-02 19:48:47 +0000,www.naukri.com,Financial Services,3f05215392e222c9f08b1e6426fe93ec
AERONUBE TECHNOLOGY PRIVATE LIMITED,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,3 - 6 yrs,IT-Software / Software Services,"job description   send me jobs like this greetings from aeronube technology !! this is with regards to an excellent opportunity with us and if you have that unique and unlimited passion to build world class enterprise software products that turn into actionable intelligence, then we have the right opportunity for you and your career. this is an opportunity of permanent employment with one of our it mnc clients. type of employment: permanent what we are looking for:escalation executive people who are excited by technology and working with others to develop truly great software. people willing to learn new skills and who are not tied to any one language, but who have developed their skills sufficiently to accept any challenge. people who are willing to take ownership, take responsibility and perform in a ""first-class"" way. exp:- 3+ years job description: the purpose of the executive escalation is to resolve customer requests by providing exceptional service through advanced knowledge and advice on technical as well a billing issues. key performance indicators 1. customer experience demonstrates ownership of all customer contacts by personally ensuring that any action required is completed as promised in a simple, timely and responsive manner ensures all oral and written communication, including email, consistently demonstrates a professional and friendly tone, maintaining faultless grammar and spelling standards (where applicable). offers a solution-based approach to all customer interactions tailored to the needs of the individual customer with a focus on resolving customer queries on first contact. uses initiative to find suitable solutions that benefit the customer and the business. seeks to understand & responds to all customers with willingness and appropriate tone and language seeks to educate the customer at every possible opportunity to empower them to self-care in future. ensures follow-up action is taken when necessary and keeps the customer informed. ensures own product, system, process and policy knowledge is current. ensures that knowledge is shared amongst team members to provide exceptional customer service. always looks for a solution that will benefit both the customer and the business that may be beyond the problem posed by the customer giving vta (value through advice). seeks to empower and educate l1 agents on common customer issues. ensures availability to provide support and guidance to l1 agents. takes ownership to resolve any escalated calls. 2. operational excellence adheres to scheduled shifts, rostered start times, end times, break times and any scheduled activities. is available to manage all customer interactions as rostered within parameters, inclusive of calls, emails and other tasks. takes care to ensure own safety and health at work, and to avoid adversely affecting the safety or health of any other person at work. escalates issues to the attention of management, including equipment failure. captures all customer details and data relevant to the call or service intervention efficiently and accurately. adheres to all contact centre policies, procedures, codes of conduct and legislative requirements resolves all customer queries within agreed time frames always provides feedback on issues that are driving customer dissatisfaction, along with suitable solutions, so that the root cause can be addressed by the business and the issue can be avoided in the future. acts as a subject matter expert, providing coaching and guidance to team members who are less experienced. np:only 30 days notice period will be considered salary: not disclosed by recruiter industry: it-software / software services functional area: it software - telecom software role category:admin/maintenance/security/datawarehousing role:technical support engineer desired candidate profile if you are interested for the above position then, kindly send us the following details (mandatory) along with an updated resume / cv as soon as possible, so that we could process your profile for the same.full name: skill: total experience: relevant experience: contact number: alternate contact number: dob: take home salary per month: expected take home salary per month:currently working/not working/ serving notice period:current company: employment [permanent/contract]: if contract, please specify your primary company details with url: required time to join: current location: please let us know if you are holding any other offers: ready to take f2f interview (mandatory):passport: wishing you all the very best. in case you might want to get in touch with us for better assistance, please feel free to email us at jobs@aeronube.com and we would be more than glad to help you. education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: aeronube technology private limited aeronube is a result driven specialist it organization with extensive sector knowledge and experience in it staffing / managed services & software development providing end to end it services and solutions to different fortune 500 clients. in todayu2019s world, as business becomes more demanding, organizations need to re-engineer their it services & solutions and need to be agile and flexible to meet ever-changing business expectations and that requires a broad-based and integrated capability u2013 not just in skills, but across capabilities, types of engagements and service delivery models. innovative strategies, technological expertise and a holistic approach to commitments is the key differentiator to aeronubeu2019s approach. rnrnordinary jobs can be a bit boring. we get that. but boring is not a word you would associate with aeronube. no. boring we are not.rnrnwe're a vibrant, innovative company with big ideas and a great vision: to fundamentally change the recruitment industry and make people feel good about recruitment.we're looking to grow quickly, and we're on the look out for dynamic, free-thinking professionals to join our team and help us achieve our goal(s). we offer competitive packages, opportunities for training and career development, and a chance to make a real difference in a fast-paced, meritocratic, performance-driven but fun environment. rnrnwith a highly qualified /skilled management and leadership team, we deploy innovative and effective search methodologies to meet our clientu2019s needs. download ppt photo 1   view contact details",101116600436,Mumbai,Escalation Executive / Mumbai / IT MNC,10.0,Not Disclosed by Recruiter,2016-11-09 19:48:47 +0000,www.naukri.com,IT Software - Telecom Software,88be32e1568a44301e568bccca885c4c
Bonace Engineers Private Limited,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,2 - 5 yrs,IT-Hardware & Networking,"job description   send me jobs like this responsibilities- develop user interfaces for modern rich internet applications with the latest front end technologies perform product analysis and development tasks of increasingly complex nature which may require extensive research and analysis. writing tested and documented javascript, html and css make design and technical decisions for angularjs projects. develop application code and unit test in the angularjs, rest web services and java technologies for the application development center. skills and qualifications 4+ years experience with angular js bs degree in computer science or engineering strong expertise with html, css, and writing cross-browser compatible code. good understanding of ajax and javascript dom manipulation techniques experience with restful services experience in javascript build tools like grunt or gulp expert in any one of the modern javascript mv-vm/mvc frameworks (angularjs, jquery, nodejs, gruntjs) familiar with testing frameworks (ex. jasmine) test runner framework (ex. karma) hand on and implements complex angularjs applications, directives, controllers, services salary: not disclosed by recruiter industry: it-hardware & networking functional area: it software - ecommerce , internet technologies role category:programming & design role:graphic/web designer desired candidate profile please refer to the job description above education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: bonace engineers private limited bonace is a trusted name for deputation and placement of manpower for all major industries in india and abroad for about last nineteen years. after leveraging the experience gained in operations in various business functions across the industry, bonace provides value added & cost effective services to its customers by providing right type of manpower on â??just & promptâ?� basis. download ppt photo 1   view contact details",91116600441,"Mumbai, Mumbai Suburbs",Angular JS Developer,7.0,Not Disclosed by Recruiter,2016-11-08 19:48:48 +0000,www.naukri.com,IT Software - eCommerce,a5d98fb68521d46eb939811379643ecc
Trupti Placements,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,0 - 5 yrs,Pharma / Biotech / Clinical Research,"job description   send me jobs like this selected person will be looking after pharma division. positions is for one of the pharma company with strong presence in all range of products. position is to be based at the corporate office in mumbai. salary is very attractive salary: not disclosed by recruiter industry: pharma / biotech / clinical research functional area: marketing , advertising , mr , pr , media planning role category:marketing role:product/brand manager desired candidate profile please refer to the job description above education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: trupti placements trupti placement was established with the view to contribute fruitfully to the diversifying and growing indian corporate market in terms of meeting their hr requirements. since our incorporation in 2007, we are in tie-up with major pharma corporate players to give them the best of services in terms of manpower to help them build and grow their organizations under the leadership of our managing director, mr.sundar banavalikar, to provide the best services in the shortest possible time. download ppt photo 1   view contact details",101116600717,Mumbai,Pharma Require Group Product Manager General,1.0,Not Disclosed by Recruiter,2016-11-09 19:48:48 +0000,www.naukri.com,Marketing,ca56f3ce17649c64cf95a715d09e3cdb
Bluebay Consulting,UG: Any Graduate - Any Specialization PG:Post Graduation Not Required,1 - 4 yrs,Retail / Wholesale,"job description   send me jobs like this we are hiring for a sports mnc retailer in surat.we are looking at energetic youth who are passionate about sales and looking for a career in retail. attend walk in customers. help them choose what they are looking for. explain the product feature salary:inr 2,00,000 - 2,50,000 p.a industry: retail / wholesale functional area: sales , retail , business development role category:channel sales role:sales executive / officer keyskills retail fresher graduate fresher retail sales sales executive counter sales brand consultant mba fresher desired candidate profile please refer to the job description above education- ug: any graduate - any specialization pg:post graduation not required company profile: bluebay consulting bluebay consulting services download ppt photo 1   view contact details",240516004460,"Surat, Pune, Mumbai, Indore, Vadodara, Ahmedabad, Nasik",Sales Manager - Retail,10.0,"2,00,000 - 2,50,000 P.A",2016-06-06 19:48:48 +0000,www.naukri.com,Sales,08ac6724afcf74227acf3e6bd1a1be55
NMD PLACEMENT CONSULTANCY PVT. LTD,UG: Any Graduate - Any Specialization,8 - 13 yrs,Banking / Financial Services / Broking,"job description   send me jobs like this *business development *develop and lead sales, marketing, and business development plan for branch ensure implementation of growth strategies *develop the business prospects in the branch vicinity by scouting for avenues to expand advances portfolio qualitatively & quantitatively *develop strategies for growth for the branch including customer relationship measures, campaigns and local advertising at bank *build and leverage networks both externally (with customers , potential customers, banking professionals, subject matter experts etc.) and internally (with bank personnel across departments and zones) *liaison with local authorities, government departments, asset and liability clients, sme clients, high net worth individuals etc. *customer service & operations *manage relationships with key bank customers and prospective high net worth customers *support the branch operations executive in ensuring exceptional customer service *ensure quick resolution of *customer issues which are escalated by the branch staff and take required action *manage cases of branch personnel not adhering to customer service guidelines (such as telephone discipline, standard procedures etc.) *monitor customer service related key performance indicators such as customer wait time and customer migration job location- chennai,pondicherry,coimbatore, mumbai, navi mumbai,chembur salary:inr 8,00,000 - 10,00,000 p.a industry: banking / financial services / broking functional area: sales , retail , business development role category:retail sales role:branch manager desired candidate profile in depth understanding of retail business and local market . ability to build and sustain network of customers and profit maximization.good in banking operation and transaction.good overall communication and sales skills .good understanding of all products banks & services .candidate from banking industries only. education- ug: any graduate - any specialization company profile: nmd placement consultancy pvt. ltd nmd placement consultancy pvt ltd download ppt photo 1   view contact details",101116600293,"Chennai, Mumbai",Opportunity for Branch Manager in Upcoming Bank-tamilnadu & Mumbai,6.0,"8,00,000 - 10,00,000 P.A",2016-11-09 19:48:49 +0000,www.naukri.com,Sales,db2753e57f9cdeb3bfce89028bfb8e2f
Global Hospitals,UG: Any Graduate - Any Specialization PG:Post Graduation Not Required,2 - 5 yrs,Medical / Healthcare / Hospitals,"job description   send me jobs like this monitor leave and time management system ensure all monthly and ad-hoc payments and deductions are correctly updated into the payroll system responsible for managing the monthly payroll computation and processing track and monitor absenteeism cases and time-off of graded employees process monthly leave balance for all employees implement changes to payroll system and procedures preparation of monthly payroll reports assist in payroll audits and compensation review ensure prompt submission of statutory payments and annual tax filing complete and submit the required statutory surveys administer all statutory requirements including submission. ensure that hr reports are completed and submitted timely involve in projects and other duties as and when assigned by the head hr salary: not disclosed by recruiter industry: medical / healthcare / hospitals functional area: hr , recruitment , administration , ir role category:hr/ recruitment / ir role:payroll executive desired candidate profile please refer to the job description above education- ug: any graduate - any specialization pg:post graduation not required company profile: global hospitals global hospitals group is one of the fast growing chains of multi super specialty tertiary & quaternary care hospitals in india offering healthcare services of international standards. conferred with many prestigious health care excellence awards and recognized as the most promising healthcare chain in india, global hospitals group, with over 2000 beds, has world class hospitals strategically located in the metro cities of chennai, bangalore, hyderabad & mumbai. download ppt photo 1   view contact details",51116600623,Mumbai,Payroll Executive,1.0,Not Disclosed by Recruiter,2016-11-04 19:48:49 +0000,www.naukri.com,HR,4b1a0e9710ef1d299e8e1e5543f45fec
Breter Managings,UG: Any Graduate - Any Specialization PG:Integrated PG - Any Specialization Doctorate:Doctorate Not Required,1 - 3 yrs,Internet / Ecommerce,"job description   send me jobs like this create product catalogs that improve customer experience. consume large complex data sets to create output & identify common patterns from multiple streams of data. additional responsibilities will include co-ordination with external/internal teams salary:inr 2,75,000 - 4,50,000 p.a industry: internet / ecommerce functional area: journalism , editing , content role category:content development role:fashion content developer keyskills product catalogs advance excel ms word macro vba vba macro desired candidate profile you must be a catalog developer on app from fashion/lifestyle domain. must be very good in advanced excel & vba macro. only mumbai candidates plz. education- ug: any graduate - any specialization pg:integrated pg - any specialization doctorate:doctorate not required company profile: breter managings company is launching a new b2c mobile shopping product. already present in the ecommerce retail segment. download ppt photo 1   view contact details",150216000102,Mumbai,"Catalog Associate- Quality Fashion Listings on the app, 2-3yrs, Mumbai",1.0,"2,75,000 - 4,50,000 P.A",2016-03-01 19:48:49 +0000,www.naukri.com,Journalism,63133dad1b8fba356f914b8e4e7e461a
